127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 200 1212
127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:46:13 -0300] "GET /Economy/ServletRelatory?dateStart=02/06/2014&dateEnd=23/06/2015&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:47:53 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:48:07 -0300] "GET /Economy/ServletRelatory?dateStart=11/06/2014&dateEnd=16/06/2015&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:48:28 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:48:28 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:48:29 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:48:29 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:48:29 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:48:29 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
